iter	Passed	Remaining
0	1	131
1	2	122
2	3	117
3	4	107
4	5	109
5	6	108
6	8	106
7	9	105
8	10	104
9	11	104
10	12	102
11	13	100
12	14	99
13	16	99
14	17	98
15	18	97
16	19	95
17	20	93
18	21	93
19	23	92
20	24	91
21	25	90
22	26	89
23	27	88
24	28	86
25	30	85
26	31	84
27	32	82
28	33	81
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	70
39	45	68
40	47	67
41	47	65
42	48	64
43	49	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	102	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	113	1
99	114	0
